path,porosity,dir,tau,t,dimx,dimy,dimz,solver
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section004',	0.54855,	X_NEG,	1.36048,	197.051,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section004',	0.54855,	Y_NEG,	1.36147,	195.961,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section004',	0.54855,	Z_NEG,	1.39919,	162.606,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section005',	0.533648,	X_NEG,	1.37257,	189.114,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section005',	0.533648,	Y_NEG,	1.38019,	195.295,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section005',	0.533648,	Z_NEG,	1.38952,	146.51,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section006',	0.532308,	X_NEG,	1.36742,	199.282,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section006',	0.532308,	Y_NEG,	1.40035,	182.535,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section006',	0.532308,	Z_NEG,	1.39222,	149.257,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section007',	0.562387,	X_NEG,	1.35084,	187.404,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section007',	0.562387,	Y_NEG,	1.35261,	246.213,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section007',	0.562387,	Z_NEG,	1.38417,	156.737,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section008',	0.50607,	X_NEG,	1.40683,	261.843,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section008',	0.50607,	Y_NEG,	1.42544,	206.87,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section008',	0.50607,	Z_NEG,	1.42689,	171.301,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section009',	0.527592,	X_NEG,	1.39301,	234.934,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section009',	0.527592,	Y_NEG,	1.3765,	213.236,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section009',	0.527592,	Z_NEG,	1.42274,	149.987,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section001',	0.387145,	X_NEG,	1.59645,	246.163,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section001',	0.387145,	Y_NEG,	1.60783,	232.933,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section001',	0.387145,	Z_NEG,	1.7366,	160.541,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section002',	0.37865,	X_NEG,	1.61825,	212.972,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section002',	0.37865,	Y_NEG,	1.64423,	219.988,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section002',	0.37865,	Z_NEG,	1.74952,	146.224,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section003',	0.413961,	X_NEG,	1.52795,	184.274,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section003',	0.413961,	Y_NEG,	1.55573,	205.247,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section003',	0.413961,	Z_NEG,	1.68402,	154.101,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section004',	0.410739,	X_NEG,	1.54743,	212.315,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section004',	0.410739,	Y_NEG,	1.56208,	155.147,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section004',	0.410739,	Z_NEG,	1.70059,	163.161,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section005',	0.395491,	X_NEG,	1.58707,	225.428,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section005',	0.395491,	Y_NEG,	1.58538,	205.08,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section005',	0.395491,	Z_NEG,	1.75057,	147.49,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section006',	0.403428,	X_NEG,	1.5539,	202.923,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section006',	0.403428,	Y_NEG,	1.53893,	198.218,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section006',	0.403428,	Z_NEG,	1.72581,	154.797,	296,	296,	170,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section007',	0.405431,	X_NEG,	1.61748,	144.471,	296,	296,	170,	BICGSTABCPU
